id,question,requestLanguage,expectedLanguage,detectedAnswerLanguage,expectedIntent,actualIntent,expectedMode,actualMode,timeScope,fromTimeUtc,toTimeUtc,expectedGrounded,actualGrounded,evidenceCount,latencySeconds,latencyOk,toolsUsed,passed,failures,warnings,answer
daily-summary-tr,Bugün neler oldu?,tr,tr,tr,DAILY_SUMMARY,DAILY_SUMMARY,AGGREGATE,AGGREGATE,TODAY,2026-07-23T21:00:00Z,2026-07-24T14:41:42.863284Z,,True,20,0.065,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;deterministic_fallback,False,equivalenceGroup daily-summary-today: toTimeUtc uyuşmuyor.,,İstenen dönemle eşleşen 132 operasyon olayı bulundu. Hata: 2; uyarı: 4; oluşturma: 0; güncelleme: 0; silme: 0. Kaynak türleri: RUNTIME_LOG.
daily-summary-en,What happened today?,en,en,en,DAILY_SUMMARY,DAILY_SUMMARY,AGGREGATE,AGGREGATE,TODAY,2026-07-23T21:00:00Z,2026-07-24T14:41:42.943718Z,,True,20,0.061,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;deterministic_fallback,False,equivalenceGroup daily-summary-today: toTimeUtc uyuşmuyor.,,132 operational events matched the requested period. Errors: 2; warnings: 4; created: 0; updated: 0; deleted: 0. Source types: RUNTIME_LOG.
yesterday-summary-tr,Dün neler oldu?,tr,tr,tr,DAILY_SUMMARY,DAILY_SUMMARY,AGGREGATE,AGGREGATE,YESTERDAY,2026-07-22T21:00:00Z,2026-07-23T20:59:59.999999Z,,True,20,0.127,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;deterministic_fallback,True,,,İstenen dönemle eşleşen 583 operasyon olayı bulundu. Hata: 27; uyarı: 52; oluşturma: 0; güncelleme: 0; silme: 0. Kaynak türleri: RUNTIME_LOG.
yesterday-summary-en,What happened yesterday?,en,en,en,DAILY_SUMMARY,DAILY_SUMMARY,AGGREGATE,AGGREGATE,YESTERDAY,2026-07-22T21:00:00Z,2026-07-23T20:59:59.999999Z,,True,20,0.114,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;deterministic_fallback,True,,,583 operational events matched the requested period. Errors: 27; warnings: 52; created: 0; updated: 0; deleted: 0. Source types: RUNTIME_LOG.
error-count-tr,Son 2 saatte kaç hata oluştu?,tr,tr,tr,ERROR_COUNT,ERROR_COUNT,AGGREGATE,AGGREGATE,RELATIVE,2026-07-24T12:41:43.379423Z,2026-07-24T14:41:43.379423Z,,False,0,0.009,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary,False,equivalenceGroup error-count-two-hours: fromTimeUtc uyuşmuyor. | equivalenceGroup error-count-two-hours: toTimeUtc uyuşmuyor.,,Soruyla eşleşen bir operasyon logu bulunamadı.
error-count-en,How many errors occurred in the last two hours?,en,en,unknown,ERROR_COUNT,ERROR_COUNT,AGGREGATE,AGGREGATE,RELATIVE,2026-07-24T12:41:43.392747Z,2026-07-24T14:41:43.392747Z,,False,0,0.007,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary,False,equivalenceGroup error-count-two-hours: fromTimeUtc uyuşmuyor. | equivalenceGroup error-count-two-hours: toTimeUtc uyuşmuyor.,Cevap dili kesin belirlenemedi.,No operational log matched the question.
deleted-yesterday-tr,Dün hangi kayıtlar silindi?,tr,tr,tr,AUDIT_DELETE_LIST,AUDIT_DELETE_LIST,FILTERED_LIST,FILTERED_LIST,YESTERDAY,2026-07-22T21:00:00Z,2026-07-23T20:59:59.999999Z,,False,0,0.008,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary,True,,,Soruyla eşleşen bir operasyon logu bulunamadı.
deleted-yesterday-en,Which records were deleted yesterday?,en,en,unknown,AUDIT_DELETE_LIST,AUDIT_DELETE_LIST,FILTERED_LIST,FILTERED_LIST,YESTERDAY,2026-07-22T21:00:00Z,2026-07-23T20:59:59.999999Z,,False,0,0.008,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary,True,,Cevap dili kesin belirlenemedi.,No operational log matched the question.
updated-news-tr,Bugün hangi haberler güncellendi?,tr,tr,tr,AUDIT_UPDATE_LIST,AUDIT_UPDATE_LIST,FILTERED_LIST,FILTERED_LIST,TODAY,2026-07-23T21:00:00Z,2026-07-24T14:41:43.428095Z,,False,0,0.008,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary,True,,,Soruyla eşleşen bir operasyon logu bulunamadı.
updated-news-en,Which news items were updated today?,en,en,unknown,AUDIT_UPDATE_LIST,AUDIT_UPDATE_LIST,FILTERED_LIST,FILTERED_LIST,TODAY,2026-07-23T21:00:00Z,2026-07-24T14:41:43.440506Z,,False,0,0.008,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary,True,,Cevap dili kesin belirlenemedi.,No operational log matched the question.
clock-window-tr,Saat 14.30 civarında ne oldu?,tr,tr,tr,TIME_WINDOW_SEARCH,TIME_WINDOW_SEARCH,FILTERED_LIST,FILTERED_LIST,CLOCK,2026-07-24T11:00:00Z,2026-07-24T12:00:00Z,,True,20,0.055,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;deterministic_fallback,True,,,İstenen dönemle eşleşen 54 operasyon olayı bulundu. Hata: 1; uyarı: 1; oluşturma: 0; güncelleme: 0; silme: 0. Kaynak türleri: RUNTIME_LOG.
clock-window-en,What happened around 14:30?,en,en,en,TIME_WINDOW_SEARCH,TIME_WINDOW_SEARCH,FILTERED_LIST,FILTERED_LIST,CLOCK,2026-07-24T11:00:00Z,2026-07-24T12:00:00Z,,True,20,0.053,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;deterministic_fallback,True,,,54 operational events matched the requested period. Errors: 1; warnings: 1; created: 0; updated: 0; deleted: 0. Source types: RUNTIME_LOG.
exception-tr,NoResourceFoundException ve /favicon.ico hatasını açıkla.,tr,tr,tr,EXACT_IDENTIFIER_SEARCH,EXACT_IDENTIFIER_SEARCH,HYBRID,HYBRID,,,,True,True,12,0.075,True,bilingual_query_planner;qdrant_dense_retrieval;qdrant_sparse_bm25_retrieval;qdrant_rrf_hybrid_fusion;qdrant_payload_filter;deterministic_fallback,False,missingAnswerTerms: NoResourceFoundException,,Filtrelerle eşleşen 29 kayıt bulundu. Rapor için en ilgili 12 kayıt incelendi. Kaynak türleri: RUNTIME_LOG.
exception-en,Explain the NoResourceFoundException related to /favicon.ico.,en,en,en,EXACT_IDENTIFIER_SEARCH,EXACT_IDENTIFIER_SEARCH,HYBRID,HYBRID,,,,True,True,12,0.055,True,bilingual_query_planner;qdrant_dense_retrieval;qdrant_sparse_bm25_retrieval;qdrant_rrf_hybrid_fusion;qdrant_payload_filter;deterministic_fallback,False,missingAnswerTerms: NoResourceFoundException,,29 records matched the filters. The 12 most relevant records were reviewed. Source types: RUNTIME_LOG.
semantic-error-tr,Sistemdeki en önemli uygulama hatalarını açıkla.,tr,tr,tr,SEMANTIC_SEARCH,SEMANTIC_SEARCH,HYBRID,HYBRID,,,,,True,12,0.056,True,bilingual_query_planner;qdrant_dense_retrieval;qdrant_sparse_bm25_retrieval;qdrant_rrf_hybrid_fusion;qdrant_payload_filter;deterministic_fallback,True,,,Filtrelerle eşleşen 29 kayıt bulundu. Rapor için en ilgili 12 kayıt incelendi. Kaynak türleri: RUNTIME_LOG.
semantic-error-en,Explain the most important application errors in the system.,en,en,en,SEMANTIC_SEARCH,SEMANTIC_SEARCH,HYBRID,HYBRID,,,,,True,12,0.04,True,bilingual_query_planner;qdrant_dense_retrieval;qdrant_sparse_bm25_retrieval;qdrant_rrf_hybrid_fusion;qdrant_payload_filter;deterministic_fallback,True,,,29 records matched the filters. The 12 most relevant records were reviewed. Source types: RUNTIME_LOG.
